date,open,high,low,close,volume
2006-05-19,3.3138,3.3572,3.1930,3.3572,58900
2006-05-22,3.3283,3.3283,3.1399,3.1399,83600
2006-05-23,3.1447,3.2268,3.1399,3.1447,25800
2006-05-24,3.1302,3.1640,3.0577,3.1399,64700
2006-05-25,3.1737,3.2848,3.1254,3.2848,28400
2006-05-26,3.2848,3.3766,3.2316,3.3331,25600
2006-05-30,3.3331,3.3524,3.2171,3.3192,19100
2006-05-31,3.3379,3.3717,3.2268,3.3717,28200
2006-06-01,3.2558,3.3379,3.2413,3.3186,40300
2006-06-02,3.3427,3.3621,3.2558,3.2896,43000
2006-06-05,3.2993,3.3814,3.2896,3.3089,54100
2006-06-06,3.3283,3.3766,3.3089,3.3669,42700
2006-06-07,3.3814,3.5118,3.3766,3.4538,53900
2006-06-08,3.4538,3.4538,3.2993,3.3814,42000
2006-06-09,3.3814,3.4249,3.3476,3.4173,33100
2006-06-12,3.4249,3.4780,3.3959,3.4007,35000
2006-06-13,3.3814,3.4297,3.2461,3.2461,46700
2006-06-14,3.2606,3.3524,3.1399,3.3041,48700
2006-06-15,3.3427,3.3572,3.2703,3.2703,29500
2006-06-16,3.2703,3.3814,3.2703,3.3331,11600
2006-06-19,3.3910,3.4152,3.3572,3.3862,26200
2006-06-20,3.4297,3.4587,3.3572,3.4007,47900
2006-06-21,3.4683,3.4973,3.3476,3.4973,51700
2006-06-22,3.3621,3.4732,3.3621,3.4345,34900
2006-06-23,3.5022,3.5022,3.2751,3.2944,82000
2006-06-26,3.2606,3.3331,3.1882,3.2606,78900
2006-06-27,3.2606,3.2606,3.1495,3.1592,79300
2006-06-28,3.1785,3.1978,3.1157,3.1399,58500
2006-06-29,3.1640,3.2075,3.1350,3.1640,67200
2006-06-30,3.1978,3.2461,3.1447,3.2461,68300
2006-07-03,3.2606,3.3283,3.2316,3.2703,35900
2006-07-05,3.2848,3.3138,3.1870,3.2751,55200
2006-07-06,3.2655,3.2655,3.1688,3.2220,39900
2006-07-07,3.2316,3.2316,3.1447,3.1737,12800
